B078GSH1LV,LG UltraWide FHD 34-Inch Computer Monitor 34WK650-W, IPS with HDR 10 Compatibility and AMD FreeSync, White  ,246.99,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/819F1MjJJ8L._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B07TNM8L6S,ASUS VG248QG 24 Inch  G-Sync Gaming Monitor 165Hz 1080p 0.5ms Eye Care with DP HDMI DVI, Black  ,189,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81MLtyTxeAL._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B088BC5HMM,ASUS ProArt Display PA278QV 27” WQHD (2560 x 1440) Monitor, 100% sRGB/Rec. 709 ΔE < 2, IPS, DisplayPort HDMI DVI-D Mini DP, Calman Verified, Eye Care, Anti-glare, Tilt Pivot Swivel Height Adjustable  ,289,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81QoOiJ+VxL._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B08CVTTNN4,LG UltraFine UHD 27-Inch 4K UHD 2160p Computer Monitor 27UN850-W, IPS with VESA DisplayHDR 400, AMD FreeSync, and USB-C, White  ,399.99,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81kVFBp13RL._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B072XCZSSW,BenQ GW2480 24 Inch IPS 1080P FHD Computer Monitor with Built In Speakers, Proprietary Eye-Care Tech, Adaptive Brightness for Image Quality, Ultra-Slim Bezel and Edge to Edge Display, Black  ,119.99,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61slmmMpTDL._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B088YN9LBK,LG QHD 32-Inch Computer Monitor 32QN600-B, IPS with HDR 10 Compatibility and AMD FreeSync, Black  ,239.99,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81-lVaD1rAL._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B0966YYP65,ASUS ZenScreen 15.6” 1080P Portable Monitor (MB16ACV) - Full HD, IPS, Eye Care, Flicker Free, Blue Light Filter, Kickstand, USB-C Power Delivery, for Laptop, PC, Phone, Console, BLACK  ,209,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71XeGnFB72S._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B09TMJ9LGR,SAMSUNG 32 Inch  Odyssey G55A QHD 165Hz 1ms FreeSync Curved Gaming Monitor with HDR 10, Futuristic Design for Any Desktop (LS32AG550ENXZA)  ,429.99,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81a+yL6ii9L._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B07B863WTB,ViewSonic VA2456-MHD 24 Inch IPS 1080p Monitor with Ultra-Thin Bezels, HDMI, DisplayPort and VGA Inputs for Home , Office  ,129.99,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61U4pbZml6L._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B087QRW81Z,Sceptre IPS 24-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, Machine Black (E248W-FPT)  ,115.59,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/616nHsJfEZL._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
